A6 reads 0047.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  314
AA reads 0300.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  315
AA reads 0143.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0047.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  316
AA reads 0000.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0047.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  317
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0003.  Therefore, state is: 0000
A6 reads 0034.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  318
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0043.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  319
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0049.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  320
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0050.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  321
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0049.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  322
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  323
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  324
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
