A9 reads 0062.  Therefore, state is: 0000
A8 reads 0163.  Therefore, state is: 0000
A7 reads 0235.  Therefore, state is: 0000
A6 reads 0232.  Therefore, state is: 0000
A5 reads 0275.  Therefore, state is: 0000
A4 reads 0274.  Therefore, state is: 0000
A3 reads 0271.  Therefore, state is: 0000
A2 reads 0384.  Therefore, state is: 0000
A1 reads 0379.  Therefore, state is: 0000
A0 reads 0346.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   41
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0251.  Therefore, state is: 0000
A7 reads 0251.  Therefore, state is: 0000
A6 reads 0241.  Therefore, state is: 0000
A5 reads 0286.  Therefore, state is: 0000
A4 reads 0277.  Therefore, state is: 0000
A3 reads 0271.  Therefore, state is: 0000
A2 reads 0375.  Therefore, state is: 0000
A1 reads 0366.  Therefore, state is: 0000
A0 reads 0334.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   42
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0119.  Therefore, state is: 0000
A7 reads 0225.  Therefore, state is: 0000
A6 reads 0223.  Therefore, state is: 0000
A5 reads 0236.  Therefore, state is: 0000
A4 reads 0244.  Therefore, state is: 0000
A3 reads 0248.  Therefore, state is: 0000
A2 reads 0368.  Therefore, state is: 0000
A1 reads 0350.  Therefore, state is: 0000
A0 reads 0323.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   43
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0141.  Therefore, state is: 0000
A7 reads 0226.  Therefore, state is: 0000
A6 reads 0225.  Therefore, state is: 0000
A5 reads 0268.  Therefore, state is: 0000
A4 reads 0265.  Therefore, state is: 0000
A3 reads 0263.  Therefore, state is: 0000
A2 reads 0382.  Therefore, state is: 0000
A1 reads 0374.  Therefore, state is: 0000
A0 reads 0339.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   44
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0227.  Therefore, state is: 0000
A7 reads 0241.  Therefore, state is: 0000
A6 reads 0232.  Therefore, state is: 0000
A5 reads 0277.  Therefore, state is: 0000
A4 reads 0268.  Therefore, state is: 0000
A3 reads 0264.  Therefore, state is: 0000
A2 reads 0380.  Therefore, state is: 0000
A1 reads 0362.  Therefore, state is: 0000
A0 reads 0327.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   45
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0107.  Therefore, state is: 0000
A7 reads 0216.  Therefore, state is: 0000
A6 reads 0215.  Therefore, state is: 0000
A5 reads 0228.  Therefore, state is: 0000
A4 reads 0236.  Therefore, state is: 0000
A3 reads 0241.  Therefore, state is: 0000
A2 reads 0364.  Therefore, state is: 0000
A1 reads 0347.  Therefore, state is: 0000
A0 reads 0319.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   46
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0136.  Therefore, state is: 0000
A7 reads 0219.  Therefore, state is: 0000
A6 reads 0218.  Therefore, state is: 0000
A5 reads 0261.  Therefore, state is: 0000
A4 reads 0260.  Therefore, state is: 0000
A3 reads 0257.  Therefore, state is: 0000
A2 reads 0370.  Therefore, state is: 0000
A1 reads 0370.  Therefore, state is: 0000
A0 reads 0334.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   47
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0214.  Therefore, state is: 0000
A7 reads 0233.  Therefore, state is: 0000
A6 reads 0225.  Therefore, state is: 0000
A5 reads 0265.  Therefore, state is: 0000
A4 reads 0255.  Therefore, state is: 0000
A3 reads 0251.  Therefore, state is: 0000
A2 reads 0357.  Therefore, state is: 0000
A1 reads 0349.  Therefore, state is: 0000
A0 reads 0316.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   48
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0053.  Therefore, state is: 0000
A7 reads 0203.  Therefore, state is: 0000
A6 reads 0205.  Therefore, state is: 0000
A5 reads 0220.  Therefore, state is: 0000
A4 reads 0229.  Therefore, state is: 0000
A3 reads 0234.  Therefore, state is: 0000
A2 reads 0353.  Therefore, state is: 0000
A1 reads 0344.  Therefore, state is: 0000
A0 reads 0315.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   49
