LOOPING
A5 reads 0702.  Therefore, state is: 0x001f
A4 reads 0671.  Therefore, state is: 0x003f
A3 reads 0633.  Therefore, state is: 0x007f
A2 reads 0637.  Therefore, state is: 0x00ff
A1 reads 0660.  Therefore, state is: 0x01ff
A0 reads 0695.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   18
LOOPING
A9 reads 0788.  Therefore, state is: 0x0001
A8 reads 0716.  Therefore, state is: 0x0003
A7 reads 0793.  Therefore, state is: 0x0007
A6 reads 0730.  Therefore, state is: 0x000f
A5 reads 0838.  Therefore, state is: 0x001f
A4 reads 0783.  Therefore, state is: 0x003f
A3 reads 0737.  Therefore, state is: 0x007f
A2 reads 0856.  Therefore, state is: 0x00ff
A1 reads 0889.  Therefore, state is: 0x01ff
A0 reads 0892.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   19
LOOPING
A9 reads 0738.  Therefore, state is: 0x0001
A8 reads 0820.  Therefore, state is: 0x0003
A7 reads 0792.  Therefore, state is: 0x0007
A6 reads 0707.  Therefore, state is: 0x000f
A5 reads 0741.  Therefore, state is: 0x001f
A4 reads 0677.  Therefore, state is: 0x003f
A3 reads 0623.  Therefore, state is: 0x007f
A2 reads 0592.  Therefore, state is: 0x00fe
A1 reads 0547.  Therefore, state is: 0x01fc
A0 reads 0527.  Therefore, state is: 0x03f8
[MAIN] State is: 0x3f8, time is:   20
LOOPING
A9 reads 0792.  Therefore, state is: 0x0001
A8 reads 0354.  Therefore, state is: 0x0002
A7 reads 0687.  Therefore, state is: 0x0005
A6 reads 0654.  Therefore, state is: 0x000b
A5 reads 0595.  Therefore, state is: 0x0016
A4 reads 0583.  Therefore, state is: 0x002c
A3 reads 0561.  Therefore, state is: 0x0058
A2 reads 0622.  Therefore, state is: 0x00b1
A1 reads 0663.  Therefore, state is: 0x0163
A0 reads 0684.  Therefore, state is: 0x02c7
[MAIN] State is: 0x2c7, time is:   21
LOOPING
A9 reads 0921.  Therefore, state is: 0x0001
A8 reads 0693.  Therefore, state is: 0x0003
A7 reads 0827.  Therefore, state is: 0x0007
A6 reads 0761.  Therefore, state is: 0x000f
A5 reads 0839.  Therefore, state is: 0x001f
A4 reads 0765.  Therefore, state is: 0x003f
A3 reads 0715.  Therefore, state is: 0x007f
A2 reads 0821.  Therefore, state is: 0x00ff
A1 reads 0847.  Therefore, state is: 0x01ff
