LOOPING
A7 reads 1017.  Therefore, state is: 0x0007
A6 reads 0913.  Therefore, state is: 0x000f
A5 reads 0898.  Therefore, state is: 0x001f
A4 reads 0826.  Therefore, state is: 0x003f
A3 reads 0775.  Therefore, state is: 0x007f
A2 reads 0940.  Therefore, state is: 0x00ff
A1 reads 0956.  Therefore, state is: 0x01ff
A0 reads 0804.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   21
LOOPING
A9 reads 0751.  Therefore, state is: 0x0001
A8 reads 0979.  Therefore, state is: 0x0003
A7 reads 1017.  Therefore, state is: 0x0007
A6 reads 0909.  Therefore, state is: 0x000f
A5 reads 0874.  Therefore, state is: 0x001f
A4 reads 0813.  Therefore, state is: 0x003f
A3 reads 0762.  Therefore, state is: 0x007f
A2 reads 0909.  Therefore, state is: 0x00ff
A1 reads 0941.  Therefore, state is: 0x01ff
A0 reads 0796.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   22
LOOPING
A9 reads 0518.  Therefore, state is: 0000
A8 reads 0842.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A6 reads 0916.  Therefore, state is: 0x0007
A5 reads 1005.  Therefore, state is: 0x000f
A4 reads 0914.  Therefore, state is: 0x001f
A3 reads 0836.  Therefore, state is: 0x003f
A2 reads 0946.  Therefore, state is: 0x007f
A1 reads 0991.  Therefore, state is: 0x00ff
A0 reads 0901.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   23
LOOPING
A9 reads 0662.  Therefore, state is: 0x0001
A8 reads 0986.  Therefore, state is: 0x0003
A7 reads 1017.  Therefore, state is: 0x0007
A6 reads 0913.  Therefore, state is: 0x000f
A5 reads 0982.  Therefore, state is: 0x001f
A4 reads 0899.  Therefore, state is: 0x003f
A3 reads 0830.  Therefore, state is: 0x007f
A2 reads 0910.  Therefore, state is: 0x00ff
A1 reads 0957.  Therefore, state is: 0x01ff
A0 reads 0840.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   24
LOOPING
A9 reads 0632.  Therefore, state is: 0x0001
A8 reads 0983.  Therefore, state is: 0x0003
A7 reads 1017.  Therefore, state is: 0x0007
A6 reads 0911.  Therefore, state is: 0x000f
A5 reads 0956.  Therefore, state is: 0x001f
A4 reads 0890.  Therefore, state is: 0x003f
A3 reads 0826.  Therefore, state is: 0x007f
A2 reads 0890.  Therefore, state is: 0x00ff
A1 reads 0937.  Therefore, state is: 0x01ff
A0 reads 0838.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   25
LOOPING
A9 reads 0632.  Therefore, state is: 0x0001
A8 reads 0963.  Therefore, state is: 0x0003
A7 reads 1017.  Therefore, state is: 0x0007
A6 reads 0912.  Therefore, state is: 0x000f
A5 reads 0977.  Therefore, state is: 0x001f
A4 reads 0906.  Therefore, state is: 0x003f
A3 reads 0838.  Therefore, state is: 0x007f
A2 reads 0877.  Therefore, state is: 0x00ff
A1 reads 0916.  Therefore, state is: 0x01ff
A0 reads 0823.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   26
LOOPING
A9 reads 0606.  Therefore, state is: 0x0001
A8 reads 0960.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0909.  Therefore, state is: 0x000f
A5 reads 0943.  Therefore, state is: 0x001f
A4 reads 0878.  Therefore, state is: 0x003f
A3 reads 0817.  Therefore, state is: 0x007f
A2 reads 0830.  Therefore, state is: 0x00ff
A1 reads 0880.  Therefore, state is: 0x01ff
A0 reads 0779.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   27
LOOPING
A9 reads 0579.  Therefore, state is: 0000
A8 reads 0948.  Therefore, state is: 0x0001
A7 reads 1017.  Therefore, state is: 0x0003
A6 reads 0910.  Therefore, state is: 0x0007
A5 reads 0940.  Therefore, state is: 0x000f
A4 reads 0875.  Therefore, state is: 0x001f
A3 reads 0814.  Therefore, state is: 0x003f
A2 reads 0821.  Therefore, state is: 0x007f
A1 reads 0866.  Therefore, state is: 0x00ff
A0 reads 0791.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   28
LOOPING
A9 reads 0579.  Therefore, state is: 0000
x007f
A4 reads 0904.  Therefore, state is: 0x001f
A3 reads 0835.  Therefore, state is: 0x003f
A2 reads 0821.  Therefore, state is: 0A6 reads 0912.  Therefore, state is: 0x0007
A5 reads 0979.  Therefore, state is: 0x000f
A8 reads 0920.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A1 reads 0855.  Therefore, state is: 0x00ff
A0 reads 0787.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   29
LOOPING
A9 reads 0557.  Therefore, state is: 0000
A8 reads 0913.  Therefore, state is: 0x0001
A7 reads 1018.  Therefore, state is: 0x0003
A6 reads 0910.  Therefore, state is: 0x0007
A5 reads 0943.  Therefore, state is: 0x000f
A2 reads 0779.  Therefore, state is: 0x007f
A1 reads 0820.  Therefore, state is: 0x00ff
A0 reads 0740.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   30
A4 reads 0877.  Therefore, state is: 0x001f
A3 reads 0815.  Therefore, state is: 0x003f
LOOPING
A9 reads 0535.  Therefore, state is: 0000
A8 reads 0902.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A6 reads 0910.  Therefore, state is: 0x0007
A5 reads 0948.  Therefore, state is: 0x000f
A4 reads 0883.  Therefore, state is: 0x001f
A3 reads 0820.  Therefore, state is: 0x003f
A2 reads 0784.  Therefore, state is: 0x007f
A1 reads 0817.  Therefore, state is: 0x00ff
A0 reads 0767.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   31
LOOPING
A9 reads 0541.  Therefore, state is: 0000
A8 reads 0869.  Therefore, state is: 0x0001
A7 reads 1017.  Therefore, state is: 0x0003
A6 reads 0912.  Therefore, state is: 0x0007
A3 reads 0837.  Therefore, state is: 0x003f
A2 reads 0777.  Therefore, state is: 0x007f
A1 reads 0799.  Therefore, state is: 0x00ff
A0 reads 0744.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   32
A5 reads 0986.  Therefore, state is: 0x000f
A4 reads 0908.  Therefore, state is: 0x001f
LOOPING
