[MAIN] State is: 0x13f, time is:   17
A9 reads 0354.  Therefore, state is: 0000
A8 reads 0579.  Therefore, state is: 0000
A7 reads 0565.  Therefore, state is: 0000
A6 reads 0556.  Therefore, state is: 0000
A5 reads 0620.  Therefore, state is: 0x0001
A4 reads 0612.  Therefore, state is: 0x0003
A3 reads 0603.  Therefore, state is: 0x0007
A2 reads 0942.  Therefore, state is: 0x000f
A1 reads 1010.  Therefore, state is: 0x001f
A0 reads 0976.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   18
A9 reads 0364.  Therefore, state is: 0000
A8 reads 0621.  Therefore, state is: 0x0001
A7 reads 0579.  Therefore, state is: 0x0002
A6 reads 0566.  Therefore, state is: 0x0004
A5 reads 0669.  Therefore, state is: 0x0009
A4 reads 0645.  Therefore, state is: 0x0013
A3 reads 0624.  Therefore, state is: 0x0027
A2 reads 0962.  Therefore, state is: 0x004f
A1 reads 1012.  Therefore, state is: 0x009f
A0 reads 0987.  Therefore, state is: 0x013f
[MAIN] State is: 0x13f, time is:   19
A9 reads 0386.  Therefore, state is: 0000
A8 reads 0591.  Therefore, state is: 0000
A7 reads 0575.  Therefore, state is: 0000
A6 reads 0553.  Therefore, state is: 0000
A5 reads 0640.  Therefore, state is: 0x0001
A4 reads 0620.  Therefore, state is: 0x0003
A3 reads 0604.  Therefore, state is: 0x0007
A2 reads 0939.  Therefore, state is: 0x000f
A1 reads 1004.  Therefore, state is: 0x001f
A0 reads 0961.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   20
A9 reads 0319.  Therefore, state is: 0000
A8 reads 0470.  Therefore, state is: 0000
A7 reads 0538.  Therefore, state is: 0000
A6 reads 0524.  Therefore, state is: 0000
A5 reads 0613.  Therefore, state is: 0x0001
A4 reads 0608.  Therefore, state is: 0x0003
A3 reads 0596.  Therefore, state is: 0x0006
A2 reads 0964.  Therefore, state is: 0x000d
A1 reads 1014.  Therefore, state is: 0x001b
A0 reads 0982.  Therefore, state is: 0x0037
[MAIN] State is: 0x37, time is:   21
A9 reads 0358.  Therefore, state is: 0000
A8 reads 0511.  Therefore, state is: 0000
A7 reads 0541.  Therefore, state is: 0000
A6 reads 0531.  Therefore, state is: 0000
A5 reads 0643.  Therefore, state is: 0x0001
A4 reads 0624.  Therefore, state is: 0x0003
A3 reads 0603.  Therefore, state is: 0x0007
A2 reads 0954.  Therefore, state is: 0x000f
A1 reads 1008.  Therefore, state is: 0x001f
A0 reads 0986.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   22
A9 reads 0364.  Therefore, state is: 0000
A8 reads 0477.  Therefore, state is: 0000
A7 reads 0523.  Therefore, state is: 0000
A6 reads 0521.  Therefore, state is: 0000
A5 reads 0598.  Therefore, state is: 0000
A4 reads 0587.  Therefore, state is: 0000
A3 reads 0577.  Therefore, state is: 0000
A2 reads 0946.  Therefore, state is: 0x0001
A1 reads 1006.  Therefore, state is: 0x0003
A0 reads 0961.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   23
A9 reads 0313.  Therefore, state is: 0000
A8 reads 0405.  Therefore, state is: 0000
A7 reads 0497.  Therefore, state is: 0000
A6 reads 0514.  Therefore, state is: 0000
A5 reads 0599.  Therefore, state is: 0000
A4 reads 0591.  Therefore, state is: 0000
A3 reads 0576.  Therefore, state is: 0000
A2 reads 0942.  Therefore, state is: 0x0001
A1 reads 1007.  Therefore, state is: 0x0003
A0 reads 0983.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   24
A9 reads 0358.  Therefore, state is: 0000
A8 reads 0411.  Therefore, state is: 0000
A7 reads 0491.  Therefore, state is: 0000
A6 reads 0503.  Therefore, state is: 0000
A5 reads 0625.  Therefore, state is: 0x0001
A4 reads 0604.  Therefore, state is: 0x0003
A3 reads 0584.  Therefore, state is: 0x0006
A2 reads 0925.  Therefore, state is: 0x000d
A1 reads 1001.  Therefore, state is: 0x001b
A0 reads 0992.  Therefore, state is: 0x0037
[MAIN] State is: 0x37, time is:   25
A9 reads 0357.  Therefore, state is: 0000
A8 reads 0406.  Therefore, state is: 0000
A7 reads 0468.  Therefore, state is: 0000
A6 reads 0463.  Therefore, state is: 0000
A5 reads 0565.  Therefore, state is: 0000
A4 reads 0558.  Therefore, state is: 0000
A3 reads 0549.  Therefore, state is: 0000
A2 reads 0872.  Therefore, state is: 0x0001
A1 reads 0999.  Therefore, state is: 0x0003
A0 reads 0965.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   26
A9 reads 0303.  Therefore, state is: 0000
A8 reads 0348.  Therefore, state is: 0000
A7 reads 0439.  Therefore, state is: 0000
A6 reads 0433.  Therefore, state is: 0000
A5 reads 0557.  Therefore, state is: 0000
A4 reads 0551.  Therefore, state is: 0000
A3 reads 0540.  Therefore, state is: 0000
A2 reads 0875.  Therefore, state is: 0x0001
A1 reads 1002.  Therefore, state is: 0x0003
A0 reads 0983.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   27
A9 reads 0348.  Therefore, state is: 0000
A8 reads 0438.  Therefore, state is: 0000
A7 reads 0444.  Therefore, state is: 0000
A6 reads 0425.  Therefore, state is: 0000
A5 reads 0577.  Therefore, state is: 0000
A4 reads 0559.  Therefore, state is: 0000
A3 reads 0543.  Therefore, state is: 0000
A2 reads 0868.  Therefore, state is: 0x0001
A1 reads 1001.  Therefore, state is: 0x0003
A0 reads 0985.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   28
A9 reads 0346.  Therefore, state is: 0000
A8 reads 0417.  Therefore, state is: 0000
A7 reads 0431.  Therefore, state is: 0000
A6 reads 0419.  Therefore, state is: 0000
A5 reads 0525.  Therefore, state is: 0000
A4 reads 0518.  Therefore, state is: 0000
A3 reads 0511.  Therefore, state is: 0000
A2 reads 0816.  Therefore, state is: 0x0001
A1 reads 0995.  Therefore, state is: 0x0003
A0 reads 0957.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   29
A9 reads 0291.  Therefore, state is: 0000
A8 reads 0340.  Therefore, state is: 0000
A7 reads 0411.  Therefore, state is: 0000
A6 reads 0418.  Therefore, state is: 0000
A5 reads 0530.  Therefore, state is: 0000
A4 reads 0522.  Therefore, state is: 0000
A3 reads 0510.  Therefore, state is: 0000
A2 reads 0827.  Therefore, state is: 0x0001
A1 reads 0994.  Therefore, state is: 0x0003
A0 reads 0982.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   30
A9 reads 0341.  Therefore, state is: 0000
A8 reads 0411.  Therefore, state is: 0000
A7 reads 0417.  Therefore, state is: 0000
A6 reads 0422.  Therefore, state is: 0000
A5 reads 0551.  Therefore, state is: 0000
A4 reads 0534.  Therefore, state is: 0000
A3 reads 0514.  Therefore, state is: 0000
A2 reads 0820.  Therefore, state is: 0x0001
A1 reads 0993.  Therefore, state is: 0x0003
A0 reads 0980.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   31
A9 reads 0331.  Therefore, state is: 0000
A8 reads 0349.  Therefore, state is: 0000
A7 reads 0397.  Therefore, state is: 0000
A6 reads 0396.  Therefore, state is: 0000
A5 reads 0495.  Therefore, state is: 0000
A4 reads 0489.  Therefore, state is: 0000
A3 reads 0482.  Therefore, state is: 0000
A2 reads 0776.  Therefore, state is: 0x0001
A1 reads 0991.  Therefore, state is: 0x0003
A0 reads 0955.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   32
A9 reads 0286.  Therefore, state is: 0000
A8 reads 0311.  Therefore, state is: 0000
A7 reads 0376.  Therefore, state is: 0000
A6 reads 0380.  Therefore, state is: 0000
A5 reads 0506.  Therefore, state is: 0000
A4 reads 0494.  Therefore, state is: 0000
A3 reads 0482.  Therefore, state is: 0000
A2 reads 0783.  Therefore, state is: 0x0001
A1 reads 0991.  Therefore, state is: 0x0003
A0 reads 0973.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   33
A9 reads 0344.  Therefore, state is: 0000
A8 reads 0400.  Therefore, state is: 0000
A7 reads 0389.  Therefore, state is: 0000
A6 reads 0383.  Therefore, state is: 0000
A5 reads 0519.  Therefore, state is: 0000
A4 reads 0501.  Therefore, state is: 0000
A3 reads 0483.  Therefore, state is: 0000
A2 reads 0784.  Therefore, state is: 0x0001
A1 reads 0986.  Therefore, state is: 0x0003
